trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.6, 'e': 0.08803683258237259}",20,10,13.118051432694891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.08543495096732123}",25,11,22.043661634432272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.0829099665751727}",20,5,26.287976712407527,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.08045960674953244}",20,9,9.109932157589196,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.07808166600115317}",35,15,24.733632439268753,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.07577400402284548}",30,17,21.759511925568614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.0735345437630571}",25,11,22.688889173130377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.07136126955638608}",25,17,14.543201100106334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.069252225309346}",30,18,17.117810577071864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.06720551273974978}",20,6,5.598160891072889,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.6, 'e': 0.06521928966812753}",30,15,14.649625057576003,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.06329176835964073}",30,18,20.61466613797591,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.06142121391500013}",20,11,18.985689754768003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.05960594270893937}",25,13,-4.530209668538365,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
