trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
384,True,"{'a': 0, 'e': 0}",20,5,16.671408132318877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,True,"{'a': 0, 'e': 0}",25,13,16.156553468167726,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,True,"{'a': 0, 'e': 0}",20,8,17.93309755009128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,True,"{'a': 0, 'e': 0}",30,18,23.60813103795092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,True,"{'a': 0, 'e': 0}",20,8,16.46307876092878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,True,"{'a': 0, 'e': 0}",20,3,28.654617031864614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,True,"{'a': 0, 'e': 0}",20,6,21.843806480214283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,True,"{'a': 0, 'e': 0}",25,12,24.4277257194643,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,True,"{'a': 0, 'e': 0}",30,21,17.854689965919523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,True,"{'a': 0, 'e': 0}",20,16,7.608623162663082,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,True,"{'a': 0, 'e': 0}",25,16,17.060015305679133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,True,"{'a': 0, 'e': 0}",25,8,28.429652351134408,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,True,"{'a': 0, 'e': 0}",35,20,22.83623063497547,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,True,"{'a': 0, 'e': 0}",20,11,16.37827176465325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,True,"{'a': 0, 'e': 0}",20,3,28.671524295301605,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,True,"{'a': 0, 'e': 0}",20,11,10.590774238420067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,True,"{'a': 0, 'e': 0}",25,12,25.55487176868805,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,True,"{'a': 0, 'e': 0}",20,9,16.331917005682723,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,True,"{'a': 0, 'e': 0}",25,11,25.034299660819812,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,True,"{'a': 0, 'e': 0}",20,8,19.318747040421,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,True,"{'a': 0, 'e': 0}",25,7,30.84194415511553,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,True,"{'a': 0, 'e': 0}",30,18,18.500052785799706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,True,"{'a': 0, 'e': 0}",25,15,13.076418760507948,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,True,"{'a': 0, 'e': 0}",20,6,21.847389608548053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,True,"{'a': 0, 'e': 0}",20,6,14.871890925613569,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,True,"{'a': 0, 'e': 0}",20,8,19.593349241294536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,True,"{'a': 0, 'e': 0}",20,10,18.859406004859885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,True,"{'a': 0, 'e': 0}",25,14,19.767544649088556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,True,"{'a': 0, 'e': 0}",20,3,18.929520556329553,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,True,"{'a': 0, 'e': 0}",25,6,29.486253792932416,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,True,"{'a': 0, 'e': 0}",20,12,11.5060227022339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
